person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Smaranda Stoica,smarandastoica,smarandastoica@email.ro,4600322250051,1912-08-02,"Intrarea Stancu, Titu, 810721",0761 741 537,32:4c:bd:53:2c:d3,173.108.63.8,RO81UPWX1986749948442861,2025-06-23 19:02:33,17791,225,582,1750308,f4b5b5d3-60af-4210-bcf6-43e283dbf52c
Tania Ionescu,taniaionescu,taniaionescu@141.ro,1750713035112,1958-04-15,"Soseaua Voinea, Greci, 232059",0255 212 278,86:63:0e:96:93:05,43.204.221.68,RO75UJEO0379075882112272,2025-06-23 19:02:33,21943,102,24,373124,8b3d51f3-b24c-4df8-a7ad-fd6e1eadefb2
Benone Toma,benonetoma,benonetoma@acasa.ro,1900401222899,1954-05-30,"Aleea Adonis Stănescu Nr. 53, Tandarei, 967556",0729 545 926,e0:1a:08:1c:e0:79,217.115.179.235,RO88FNTV7943106920423525,2025-06-23 19:02:33,21347,659,298,1835580,c4d05c7c-f153-404a-9a86-4be4983cb04d
Emanuil Nistor,emanuilnistor,emanuilnistor@acasa.ro,6980622513788,1960-09-16,"Bulevardul Dochioiu Nr. 605 Bl. 33  Sc. 53 Ap. 696, Lupeni, 116666",0759 337 221,d0:5d:19:a0:1e:c7,103.94.56.84,RO80MFAY1410061778487840,2025-06-23 19:02:33,23319,406,432,589884,de0bb641-6cbd-45cd-9fef-d006165d529d
Aurora Diaconescu,auroradiaconescu,auroradiaconescu@post.ro,2400104408285,1957-01-13,"Soseaua Oprea, Barbulesti, 594267",0264 607 545,5c:6f:e2:10:41:d0,183.69.221.130,RO21HKJQ2828632138351400,2025-06-23 19:02:33,30939,597,367,1480836,e6edcc9b-f718-424d-afec-77b4b1ae4ac1
Ilarie Marin,ilariemarin,ilariemarin@post.ro,7360611141391,1933-07-30,"Soseaua Norica Popescu Nr. 932, Dragasani, 284390",0238 490 510,82:69:87:21:75:a4,172.93.183.15,RO14JZED2830461898691652,2025-06-23 19:02:33,31508,692,456,546041,00bcaf0d-1513-427f-b29f-82fb559657c8
Constanța Stoica,constanțastoica,constanțastoica@email.ro,2851113160651,2021-11-18,"Bulevardul Ene, Ramnicu Valcea, 262234",0780 494 562,06:0c:c8:ae:74:5c,176.53.228.186,RO75FPWY5262833284581965,2025-06-23 19:02:33,22482,490,431,1897627,2fae187b-812e-4d92-aa74-31a2a8ea55cd
Nicuță Nistor,nicuțănistor,nicuțănistor@email.ro,8400209527581,1915-01-15,"Strada Agripina Marin, Mogosoaia, 190151",0266 640 566,42:5e:21:84:17:c1,34.74.87.207,RO19CKZH1471364659648330,2025-06-23 19:02:33,13397,76,71,1817249,f476f595-1c76-4441-bdec-46e4103f1f46
Codin Mocanu,codinmocanu,codinmocanu@kappa.ro,8580528176608,2022-09-11,"Intrarea Eftimie, Urziceni, 581045",0747 119 138,56:fe:75:ca:bd:8f,173.225.50.22,RO61ECCD1358383137466868,2025-06-23 19:02:33,12883,957,123,1299966,9b3e29fb-176a-4707-8e36-bed0663bd2a2
Iuliu Pop,iuliupop,iuliupop@email.ro,7691222263691,1920-05-23,"Intrarea Toma Nr. 44 Bl. 47  Sc. 31 Ap. 455, Botosani, 679656",0784 030 485,9a:8f:bb:6e:c3:1b,23.23.13.223,RO76IRCJ9087314449578067,2025-06-23 19:02:33,12087,882,280,463557,cc7a7736-f7e6-42d9-97ab-4b90c60af538
Ivona Nistor,ivonanistor,ivonanistor@kappa.ro,7521109519381,1957-10-12,"Strada Tudor, Sangeorgiu de Mures, 321422",0231 142 225,5e:91:23:18:d4:41,190.79.222.150,RO79JJQE6059204883398630,2025-06-23 19:02:33,32580,429,126,1065263,30d03a67-9f53-4b2d-88c3-a617d168b2f8
Anda Stan,andastan,andastan@post.ro,2640231025590,2016-08-24,"Aleea Mălina Toma, Tecuci, 115657",0250 607 267,98:c6:55:8d:f8:fa,159.208.17.242,RO79TMZF1286432697373937,2025-06-23 19:02:33,22756,284,439,369047,e201167c-bc26-4b32-bb73-eb6906a15910
Mina Diaconu,minadiaconu,minadiaconu@141.ro,2011021225317,1999-12-01,"Drumul Eftimie Nr. 164, Gugesti, 984116",0241 141 838,64:0e:2b:b3:fb:b2,220.32.40.43,RO37AJON7183536575750369,2025-06-23 19:02:33,30003,132,184,423567,fdbca421-1a3c-4845-801a-f456da123b3a
